id	university	country_iso_num_code	wikipedia_url	established_year	page_id	namespace	title	is_redirect	is_new	touched	links_updated	latest	len	content_model	page_edits	creation	editors	views	references
98	Univ Chem & Technol - Prague	203.0	University_of_Chemistry_and_Technology,_Prague	1952.0	2261891	0	University_of_Chemistry_and_Technology,_Prague	0	0	20210626182005	20210623184618.0	1001638807	6838	wikitext	71.0	2005-07-19	46.0	956.0	7.0
99	Czech Univ Life Sci Prague	203.0	Czech_University_of_Life_Sciences_Prague	1906.0	3313106	0	Czech_University_of_Life_Sciences_Prague	0	0	20210626182412	20210625090623.0	1030335870	9262	wikitext	180.0	2005-12-03	86.0	2289.0	
101	Aalborg Univ	208.0	Aalborg_University	1974.0	382707	0	Aalborg_University	0	0	20210629140850	20210629204702.0	1031049198	17735	wikitext	428.0	2003-11-29	176.0	5185.0	11.0
102	Aarhus Univ	208.0	Aarhus_University	1928.0	401280	0	Aarhus_University	0	0	20210629135733	20210629140558.0	1030364022	68444	wikitext	1010.0	2003-12-14	437.0	13687.0	95.0
109	Univ Copenhagen	208.0	University_of_Copenhagen	1479.0	176767	0	University_of_Copenhagen	0	0	20210628214929	20210627001957.0	1029715699	46927	wikitext	931.0	2003-01-30	489.0	16720.0	24.0
111	Tech Univ Denmark	208.0	Technical_University_of_Denmark	1829.0	144200	0	Technical_University_of_Denmark	0	0	20210630181513	20210630181702.0	1027747345	21311	wikitext	432.0	2002-11-05	273.0	8655.0	24.0
112	Univ South Denmark	208.0	University_of_Southern_Denmark	1998.0	43861	0	University_of_Southern_Denmark	0	0	20210626180534	20210623132936.0	1009737849	14043	wikitext	227.0	2002-03-11	120.0	4877.0	5.0
117	Univ Tartu	233.0	University_of_Tartu	1632.0	218052	0	University_of_Tartu	0	0	20210630195537	20210630200356.0	1028774328	35610	wikitext	627.0	2003-04-28	299.0	10961.0	42.0
118	Åbo Akademi Univ	246.0	Åbo_Akademi_University	1918.0	220549	0	Åbo_Akademi_University	0	0	20210630195537	20210630201416.0	994648534	6209	wikitext	185.0	2003-05-03	129.0	2663.0	3.0
123	Univ Helsinki	246.0	University_of_Helsinki	1640.0	220548	0	University_of_Helsinki	0	0	20210630195537	20210630201905.0	1027867171	45136	wikitext	838.0	2003-05-03	394.0	13674.0	23.0
125	Univ Jyväskylä	246.0	University_of_Jyväskylä	1934.0	258910	0	University_of_Jyväskylä	0	0	20210626180844	20210623124538.0	1029715748	14077	wikitext	200.0	2003-07-03	120.0	3239.0	3.0
128	Univ Oulu	246.0	University_of_Oulu	1958.0	267975	0	University_of_Oulu	0	0	20210627001535	20210627001956.0	1024707507	22601	wikitext	278.0	2003-07-15	137.0	8152.0	18.0
131	Univ Tampere	246.0	University_of_Tampere		606022	0	University_of_Tampere	0	0	20210701061346	20210701061645.0	1028504101	16022	wikitext	196.0	2004-04-19	103.0	4756.0	15.0
133	Univ Turku	246.0	University_of_Turku	1920.0	715162	0	University_of_Turku	0	0	20210630195551	20210630210140.0	1014762679	11263	wikitext	231.0	2004-06-10	151.0	4579.0	15.0
