id	university	publications	publications_frac	top_pubs	top_pubs_frac	collaboration	oa
1173	Johns Hopkins Univ	42900	17337	7939	2673	36496	30344
1174	Univ Maryland - Baltimore	10046	4020	1530	447	8525	6656
1175	Louisiana State Univ	7767	3606	915	332	6274	3686
1176	Univ California - Berkeley	26594	10006	5838	2103	23471	19363
1177	Univ Alabama - Birmingham	12941	5369	2266	657	10594	9182
1178	Virginia Tech	12403	6233	1522	620	9632	6457
1179	Indiana Univ - Bloomington	9051	3910	1338	485	7364	5678
1180	Boston Univ	17695	6463	3088	922	15474	12621
1182	Northeastern Univ - USA	6931	2713	1086	355	5904	4069
1183	Tufts Univ	8918	3546	1501	493	7549	5822
1184	Univ Colorado - Boulder	15098	5837	2889	941	12918	10096
1185	Univ Buffalo - SUNY	9985	4662	1322	495	7813	5564
1186	Univ Vermont	5032	2018	785	213	4181	3260
1187	Harvard Univ	82476	34234	18327	7246	71265	59599
1188	MIT	29268	10507	7586	2616	25571	22543
1189	Univ N Carolina - Chapel Hill	25451	10659	4453	1583	21452	18108
1190	Med Univ S Carolina	6810	2860	1124	358	5728	4443
1191	Univ Virginia	14021	6082	2265	760	11131	8517
1192	Northwestern Univ	25206	10900	5035	1879	20636	16579
1193	Univ Chicago	18159	7679	3889	1428	14951	12707
1194	Univ Illinois - Chicago	13518	5930	1801	641	10988	8116
1195	Univ Cincinnati	15287	6581	2433	782	12390	9100
1196	Clemson Univ	5376	2637	575	225	4222	2490
1197	Case West Reserve Univ	22612	10376	4012	1316	17711	13169
1198	Univ Maryland - College Park	18625	7199	3056	1068	15881	11916
1199	Texas A&M Univ - College Stn	23072	10467	3056	1154	18699	11287
1200	Univ Missouri - Columbia	9401	4633	1095	453	7393	4873
1201	Univ S Carolina - Columbia	8416	3751	1072	396	6963	4362
1202	Ohio State Univ	27815	12574	4361	1557	22119	16627
1203	Oregon State Univ	9479	4117	1432	474	7920	5215
1204	Univ Texas - Dallas	5452	2330	770	285	4548	2889
