grid_id	dimensions_wos
grid.16008.3f	68,521
grid.28577.3f	68,502
grid.10328.38	68,428
grid.508893.f	68,421
grid.259670.f	68,341
grid.412603.2	68,339
grid.263856.c	68,328
grid.412110.7	68,327
grid.417967.a	68,325
grid.5807.a	68,319
grid.6441.7	68,301
grid.5718.b	68,256
grid.411587.e	68,213
grid.170693.a	68,2
grid.9723.f	68,177
grid.411548.d	68,119
grid.272362.0	68,094
grid.5239.d	68,081
grid.412761.7	68,068
grid.39953.35	68,053
grid.266756.6	67,992
grid.267455.7	67,98
grid.412047.4	67,973
grid.7704.4	67,952
grid.410413.3	67,938
grid.6906.9	67,92
grid.37553.37	67,888
grid.6546.1	67,854
grid.213910.8	67,782
grid.29328.32	67,754
grid.267337.4	67,689
grid.9499.d	67,657
grid.14476.30	67,644
grid.412219.d	67,612
grid.410818.4	67,58
grid.264484.8	67,561
grid.59056.3f	67,456
grid.6738.a	67,403
grid.10837.3d	67,389
grid.266860.c	67,375
grid.7840.b	67,304
grid.9970.7	67,235
grid.11194.3c	67,151
grid.411249.b	67,011
grid.43582.38	66,956
grid.68312.3e	66,945
grid.8096.7	66,926
grid.10215.37	66,812
grid.411793.9	66,774
grid.4643.5	66,768
grid.453246.2	66,759
grid.267827.e	66,724
grid.410319.e	66,693
grid.9122.8	66,637
grid.262075.4	66,621
grid.35915.3b	66,619
grid.412742.6	66,544
grid.419886.a	66,496
grid.15447.33	66,485
grid.25627.34	66,407
grid.43519.3a	66,365
grid.412113.4	66,341
grid.18883.3a	66,284
grid.9670.8	66,276
grid.8536.8	66,141
grid.4800.c	66,132
grid.444703.0	66,057
grid.8356.8	66,046
grid.11899.38	66,026
grid.11875.3a	65,924
grid.8585.0	65,89
grid.252547.3	65,823
grid.7491.b	65,796
grid.36316.31	65,538
grid.42629.3b	65,504
grid.5675.1	65,413
grid.267346.2	65,357
grid.5117.2	65,337
grid.411247.5	65,295
grid.10822.39	65,292
grid.412888.f	65,234
grid.412117.0	65,112
grid.1037.5	64,973
grid.412890.6	64,928
grid.253294.b	64,905
grid.444487.f	64,875
grid.255364.3	64,855
grid.6734.6	64,711
grid.266239.a	64,667
grid.274841.c	64,586
grid.11762.33	64,578
grid.5633.3	64,541
grid.5719.a	64,409
grid.264772.2	64,318
grid.49481.30	64,256
grid.9707.9	64,191
grid.8195.5	64,114
grid.412988.e	64,111
grid.266685.9	64,092
grid.261368.8	63,72
grid.263452.4	63,691
grid.271762.7	63,653
grid.170430.1	63,615
grid.410877.d	63,56
grid.7123.7	63,465
grid.10251.37	63,343
grid.411340.3	63,243
grid.258269.2	63,01
grid.174567.6	62,985
grid.15596.3e	62,921
grid.6810.f	62,879
grid.411818.5	62,834
grid.15751.37	62,793
grid.440667.7	62,688
grid.411221.5	62,645
grid.6518.a	62,511
grid.216499.1	62,423
grid.26090.3d	62,283
grid.412846.d	62,227
grid.411705.6	62,209
grid.7645.0	62,195
grid.262613.2	62,174
grid.267500.6	62,07
grid.411195.9	61,929
grid.261277.7	61,847
grid.7155.6	61,758
grid.266859.6	61,697
grid.411583.a	61,67
grid.411408.8	61,611
grid.410318.f	61,532
grid.255951.f	61,417
grid.252262.3	61,352
grid.252487.e	61,341
grid.8430.f	61,256
grid.177174.3	61,11
grid.5659.f	61,014
grid.22448.38	61,01
grid.255464.4	60,845
grid.258799.8	60,805
grid.4994.0	60,775
grid.27476.30	60,723
grid.267335.6	60,633
grid.411327.2	60,293
grid.258333.c	60,179
grid.31880.32	60,097
grid.268394.2	59,972
grid.8532.c	59,955
grid.411227.3	59,934
grid.10706.30	59,774
grid.261356.5	59,722
grid.411400.0	59,676
grid.261445.0	59,572
grid.7776.1	59,555
grid.260493.a	59,549
grid.411600.2	59,531
grid.8399.b	59,432
